logzsol,logu,age_myr,nii_ha,oiii_hb,oii_ha,sii_ha
-2.0,-1.6,1.0,-3.1989433498371938,-0.16293728409094396,-1.750364139923084,-2.503941693713053
-2.0,-1.6,2.0,-3.1984460766265865,-0.16318596430946322,-1.7489648852192659,-2.504221887897178
-2.0,-1.6,3.0,-3.198285287291371,-0.16233357293555578,-1.74703620503168,-2.504041780283915
-2.0,-1.6,4.0,-3.2016939277453766,-0.16049946192968184,-1.7720190360841277,-2.499307466978231
-2.0,-1.6,6.0,-3.2030823258544117,-0.17196571648241962,-1.77349604047957,-2.498387720021117
-2.0,-1.6,8.0,-3.198921978396548,-0.167904625012306,-1.7467791059679731,-2.5040262070928345
-2.0,-1.6,10.0,-3.159959455948666,-0.17470753672333933,-1.6658014241643984,-2.5137310993457405
-2.0,-1.5,0.5,-3.2286140942153096,-0.14710478876938987,-1.7799087153153152,-2.5313434896046583
-2.0,-1.5,1.0,-3.2286140942153096,-0.14710478876938993,-1.7799087153153155,-2.5313434896046583
-2.0,-1.5,2.0,-3.228163120731006,-0.14731541505427048,-1.7785571972517529,-2.531659501113492
-2.0,-1.5,3.0,-3.2280221116222463,-0.1464285544334753,-1.7766450406853316,-2.531439559735657
-2.0,-1.5,4.0,-3.230859209971196,-0.14468179883785587,-1.8011472487840117,-2.5264023181786817
-2.0,-1.5,6.0,-3.2321343371043207,-0.15721983314134186,-1.8023291536167934,-2.52554068022542
-2.0,-1.5,8.0,-3.228550121588271,-0.15269132449033038,-1.7763115780634084,-2.5313440784972276
-2.0,-1.5,10.0,-3.1909021599845957,-0.1584464555406555,-1.6965680830699874,-2.5418631905606914
-2.0,-1.4,0.5,-3.2545865562925584,-0.13573173887620268,-1.8054461515804872,-2.5553948840500955
-2.0,-1.4,1.0,-3.2545865562925584,-0.13573173887620274,-1.8054461515804872,-2.5553948840500955
-2.0,-1.4,2.0,-3.2541769413155865,-0.13594836515083836,-1.8041227606960522,-2.555765044941298
-2.0,-1.4,3.0,-3.254046742072617,-0.1350619081334303,-1.8022314478375479,-2.555505454026656
-2.0,-1.4,4.0,-3.2564967118717636,-0.13327807044353837,-1.8264295466209814,-2.5503166507234822
-2.0,-1.4,6.0,-3.257722373490402,-0.1464465542380945,-1.8273051312173416,-2.5495885269436735
-2.0,-1.4,8.0,-3.254489466883205,-0.14177900085890213,-1.801773080689569,-2.5553342820548686
-2.0,-1.4,10.0,-3.2179589731590283,-0.14706739130227217,-1.7232932162521362,-2.566321083932727
-2.0,-1.3,0.5,-3.2805590183698072,-0.12435868898300131,-1.8309835870350537,-2.579446277547112
-2.0,-1.3,1.0,-3.2805590183698072,-0.12435868898300124,-1.8309835870350537,-2.579446277547112
-2.0,-1.3,2.0,-3.280190761898162,-0.12458131524738963,-1.8296883230466003,-2.5798705875068495
-2.0,-1.3,3.0,-3.280071372511577,-0.12369526183341477,-1.8278178539169787,-2.5795713472338178
-2.0,-1.3,4.0,-3.2821342126786797,-0.12187433197884481,-1.851711837397176,-2.574230981052822
-2.0,-1.3,6.0,-3.2833103940334265,-0.13567327630757645,-1.8522810805961434,-2.5736363730034513
-2.0,-1.3,8.0,-3.2804287815235713,-0.13086667432453797,-1.827234542043858,-2.5793244787395526
-2.0,-1.3,10.0,-3.245015786333461,-0.1356883270638818,-1.7500183475123454,-2.5907789772082013
-2.0,-1.2,0.5,-3.306531480447049,-0.11298563908981403,-1.8565210216790127,-2.603497670095694
-2.0,-1.2,1.0,-3.306531480447049,-0.11298563908981403,-1.8565210216790127,-2.603497670095694
-2.0,-1.2,2.0,-3.30620458247876,-0.11321426534390913,-1.8552538843034612,-2.603976128810155
