logzsol,logu,age_myr,nii_ha,oiii_hb,oii_ha,sii_ha
-1.5,-3.5,2.0,-2.3962085931877577,-1.1576026560213089,-1.0332863116642954,-1.7480707499603954
-1.5,-3.5,3.0,-2.395715080352024,-1.1588610797135428,-1.03207331430222,-1.7485028899640387
-1.5,-3.5,4.0,-2.4020927893067405,-1.1202458597308473,-1.045878459523432,-1.748235689357491
-1.5,-3.5,6.0,-2.4037866573510525,-1.1063009851888483,-1.0489931143329525,-1.7446980616511083
-1.5,-3.5,8.0,-2.3968694369113277,-1.1491662296322205,-1.032077288329109,-1.7485905851359573
-1.5,-3.5,10.0,-2.3774004593551936,-1.2787071713803897,-1.0030912430293306,-1.7493981060538464
-1.5,-3.25,0.5,-2.5051344897542833,-0.8773388477276568,-1.1086149594830474,-1.8645965982586532
-1.5,-3.25,1.0,-2.5051344897542833,-0.8773388477276569,-1.1086149594830472,-1.8645965982586532
-1.5,-3.25,2.0,-2.504496049426087,-0.8790429616144481,-1.107473403312022,-1.8646169369731556
-1.5,-3.25,3.0,-2.5040135943378345,-0.8796752223729876,-1.1059199367346013,-1.865069854193401
-1.5,-3.25,4.0,-2.5132412911551896,-0.8530183330406064,-1.1266153189229182,-1.8647410104135471
-1.5,-3.25,6.0,-2.515769920486132,-0.8440398651452319,-1.1311880114971964,-1.861744966534524
-1.5,-3.25,8.0,-2.5059732924472056,-0.8730593840581266,-1.1066493457895206,-1.8654647491387013
-1.5,-3.25,10.0,-2.472468703988568,-0.9673523880767051,-1.0547206880592543,-1.8654509469305396
-1.5,-3.0,0.5,-2.6136601339861016,-0.5994592776784131,-1.183241960411625,-1.9811712308826972
-1.5,-3.0,1.0,-2.6136601339861016,-0.5994592776784131,-1.183241960411625,-1.9811712308826972
-1.5,-3.0,2.0,-2.612783505663254,-0.6004832656164539,-1.1816604782991196,-1.9811628606783596
-1.5,-3.0,3.0,-2.612312108162628,-0.6004893539780587,-1.1797665397841668,-1.9816365440253019
-1.5,-3.0,4.0,-2.624389730223824,-0.5857878388207404,-1.2073516655018446,-1.9812459897947476
-1.5,-3.0,6.0,-2.627752864323563,-0.5817647229926892,-1.2133791224325892,-1.9787915209874152
-1.5,-3.0,8.0,-2.6150739680298214,-0.5969332384212138,-1.1812121634324504,-1.9823386535848333
-1.5,-3.0,10.0,-2.5675369486219495,-0.6559976047730204,-1.1063501096181099,-1.981503600662647
-1.5,-2.75,0.5,-2.7468339190107685,-0.47641666106279246,-1.3079418720898544,-2.096931199815207
-1.5,-2.75,1.0,-2.7468339190107685,-0.4764166610627925,-1.3079418720898541,-2.096931199815207
-1.5,-2.75,2.0,-2.745968086660049,-0.47714151893756107,-1.306268746549268,-2.0970661331451437
-1.5,-2.75,3.0,-2.745576953593764,-0.47686259764095124,-1.3043161478888847,-2.0974468212958635
-1.5,-2.75,4.0,-2.7564486180760612,-0.4671804298501074,-1.332851055585909,-2.0963154948890654
-1.5,-2.75,6.0,-2.759378860279567,-0.46625583947215526,-1.3380733782359813,-2.094260256929543
-1.5,-2.75,8.0,-2.747944040863785,-0.4751309507098985,-1.3053534624386134,-2.0980739481077304
-1.5,-2.75,10.0,-2.698964254950809,-0.5160379307910645,-1.2234040942085962,-2.0986092184716925
-1.5,-2.5,0.5,-2.8800077040354353,-0.3533740444471648,-1.4326417351707283,-2.212691148704943
-1.5,-2.5,1.0,-2.8800077040354353,-0.35337404444716475,-1.4326417351707286,-2.212691148704943
-1.5,-2.5,2.0,-2.879152667623233,-0.35379977189688677,-1.4308769693184935,-2.2129693822950807
-1.5,-2.5,3.0,-2.878841798786307,-0.3532358385484285,-1.428865706810518,-2.213257074348148
-1.5,-2.5,4.0,-2.8885074500157106,-0.3485723335880832,-1.4583503817505272,-2.211384965735239
