nii_ha,oiii_hb,sii_ha
-1.7921837324523437,0.13180433791197282,-0.6952706267710879
-1.669821376181062,-3.2587367195923136,-1.4962369364149877
-1.0583268682997442,-0.39677012574880877,-1.3720269737096578
-1.2663129106991917,-0.7369557435882541,-1.1434606990119496
-1.1022693925328255,-1.330802568892203,-0.549071827455889
-0.3387268961408623,-0.03961990221284141,-0.5660756289149577
-1.6937849792964599,0.16475610518202186,-1.204308446271716
-0.5708613077472576,-1.2322798811850362,-0.6878195179841461
-1.3738811532529027,0.6163983852446577,-0.6126019835392831
-0.566084148979904,-2.9614204489041924,-0.6710052693910735
-0.7645816325120549,-0.20516738730721332,-0.8120788651695481
-0.22901188266827435,-0.45770850755782533,-0.27021555840925443
-2.0319153546037967,-1.9442767438292066,-1.7729351906367319
-0.2473117733846877,0.7759529001652155,-1.504737015419099
-1.3030918389624446,-5.045590404747529,-1.1327743354467827
-1.724587101745847,-1.3116025662943613,-0.8339668302974061
-1.3697726917476913,-3.088966507246134,-0.5864226066660433
-1.7083051847667576,-0.4929271697563706,-1.6170437323496447
-0.21537597704754322,-0.7912681666260752,-0.3892705813754669
-0.7497120307088991,-0.29654054613958186,-1.7845813711891043
-0.03627199127828358,-0.44374541352804897,-0.15715794722362056
-1.117831218645378,-2.28734634013113,-1.2474782058557576
-1.7362360085325292,-1.1025678191265058,-0.5890392436169234
-0.6200261012478023,-1.7492776593836297,-0.6829689357457253
-0.5385218689054482,-3.7928803662440416,-0.6737565727939625
-2.4617331200315036,1.5172096615394963,-1.6083165687292795
-2.0220982462621393,-0.555980938712203,-1.0331703503968654
-1.2529648066447123,0.6224190343713829,-0.8118033905978511
-0.41488040394093423,-1.374237011468594,-1.1455838524089235
-0.7396964478331184,-0.15007576370025083,-2.744896858793954
-1.054175863560964,0.28586284263038664,-1.2167309718741859
-1.5400782756680016,-5.446334440443501,-0.3883807409908749
-0.17599606646355423,-2.6065015008187657,-0.39630613145935306
-1.703347028160124,-2.144218227508837,-0.6075886334806746
-0.9382815482281615,-4.561303360027871,-0.7064546926836178
-0.9499648276666832,-1.054554444907886,-1.7602350812273901
-0.6919600734916997,-2.756817676714597,-0.3394968358848741
-1.8442789503961166,-0.6148873392553398,-1.2205437791773557
-1.2866927260101875,-0.324167237242797,-1.3345926280939342
-1.2505322412241782,-1.3913919138593513,-0.7972733295453035
-2.097257262763385,-0.21759969464775264,-1.3438225470900267
-1.086702289395184,0.8738196391687721,-1.3110850942227692
-1.1702051672036475,-3.417274130124113,-1.0765485241692028
-0.6627788767869589,0.01990556426729033,-1.163695157935405
-1.1904788495141077,-3.8722498789030695,-0.4684343445944792
-0.07718473534141877,0.019126756442837303,-0.4806933054695721
-0.6282473373552976,0.22395071098857497,-0.2319403778429291
-2.5053794314564755,0.9312291021314607,-2.216430081844313
-3.408680313280115,0.9464451174476807,-2.961348637243002
-1.1158214406610156,-1.839921177041738,-0.9137858567338235
-1.6661055112053162,-3.860734114117321,-1.2750199904790325
-1.9115536260943031,0.9522064220780493,-1.2446019539903654
-2.626382770303117,0.5262262215118767,-2.5031707253591367
-1.3701125607777271,-5.451133736687197,-0.3800535827012103
-1.7482169768284521,-4.554357419240205,-0.8432325050401988
-1.01819004257176,-2.5617273457929812,-1.1250409697365258
-0.03449693072428778,-0.8750818857316319,-0.680804500833304
-1.3669074152864198,-1.5788475110499718,-0.6804481814641429
0.4526352526875996,-1.4577198058621335,-0.031040670540030933
-1.2652716851632064,-1.672980009435392,-0.5185578462233148
-1.017814628619135,0.3225578760380116,-1.326331735108554
-1.5446748168593345,-0.30860124601381506,-1.1541753713749399
-0.3665143909599493,1.406133881454501,-0.36317666451616687
-0.5351572811337277,1.0772657741686658,-0.9459602682313772
-0.885355970564305,0.6695490997886182,-1.0787881482914714
-0.5545875548630832,-3.9998587542393196,-0.6747266403014333
-0.5704155973018601,-1.9655108141292885,-1.5353529823792313
-1.2793605765218814,-0.5276364686048396,-1.5867623313424781
-0.746069327958196,-1.2513431519479497,-0.2878777824353915
-0.7283308812423003,-1.6429136118547945,-0.7944718169389469
-1.4278325002137606,-0.8037723625560673,-0.8206161208753922
-1.278979535857431,0.4761066150909628,-2.205588239824623
-1.732266075203846,1.288611533409231,-1.4135085653164943
-0.1950743207090894,0.2744508413226256,0.023844515883638694
-0.2616327544694314,-3.753435101414702,-0.31126922523195805
-1.3433810990566144,-3.999359040351422,-0.6614983169917239
-0.8318600247133929,-3.899801702499836,-0.47793996513373577
-1.5940856912292247,-0.9768191241383803,-0.8057878590426909
-0.31650497002097205,0.7733770082014928,-0.15089737314448556
-2.8457141918134425,0.8207188254179556,-2.6563358592730957
-0.3358331893801818,0.8797131421703669,-0.03964009786639855
-1.4238421322802068,0.6325263937848219,-1.3550375581178185
-1.2664418311118908,-4.792844683389212,-1.3227659430319818
-1.8751811643240686,-1.5408465393075659,-1.4365386444284145
-1.3864497863916867,-1.7340148591298146,-1.1170448766856047
-1.1786655570638231,-0.5579698696848965,-0.7083332083443032
-0.5517099384025386,-1.2603409124939304,-0.15775215234659876
-0.17760128060347571,-0.16232019411894788,-1.6251108814073423
-1.4993251290777039,0.8526007963628643,-1.625927093996067
-1.6811526173478981,-2.7384100760944747,-0.652542500373513
-1.3010029157009555,-0.12422654616980107,-0.6551646513017878
-1.1858626538819266,-2.573501843510428,-0.46752483270563905
-2.306479460648397,-0.028925325011478167,-1.6408074069006737
-1.923511684574997,-1.3011923176027125,-1.1223684726127976
-1.2754477741096721,-0.5550279481737093,-1.0114459605087107
-1.6519646019253855,0.18683769841351958,-1.5544900145051705
-0.29441609204869934,-0.30390467084414746,-0.1308522373660899
-1.0516620433877435,-4.920901825182121,-0.8569197850533417
-0.8010880653386535,-0.24751530852256567,-0.9396007794310903
