logu,logz,logno,logn,nii_ha,oiii_hb,sii_ha
-3.0,-0.8666666666666667,-2.0,0.5,-2.7169100119231615,-0.233232851448605,-0.6289610081406259
-3.0,-0.7400000000000001,-2.0,0.5,-2.6134117315432235,-0.15830576535262958,-0.521885182572347
-3.0,-0.6133333333333335,-2.0,0.5,-2.518604385423295,-0.1004949404810347,-0.42183373478171915
-3.0,-0.4866666666666668,-2.0,0.5,-2.434472203598517,-0.06272536982578462,-0.33079668157902853
-3.0,-0.3600000000000001,-2.0,0.5,-2.3624741088849106,-0.046746722160513364,-0.25100441243548327
-3.0,-0.2333333333333334,-2.0,0.5,-2.304006278921044,-0.05334589391191009,-0.18480216770327484
-3.0,-0.10666666666666691,-2.0,0.5,-2.261282622309892,-0.08347880033054626,-0.13459736404797243
-3.0,0.019999999999999796,-2.0,0.5,-2.2380155154323518,-0.1399909304296756,-0.10307041162354749
-3.0,0.1466666666666665,-2.0,0.5,-2.23964984629,-0.22967903590217986,-0.09381114965310336
-3.0,0.273333333333333,-2.0,0.5,-2.273272364679336,-0.3657963673940756,-0.11250446394392222
-3.0,0.4,-2.0,0.5,-2.348300150608736,-0.5718814508900749,-0.16877707378787715
-2.8,-1.5,-2.0,0.5,-3.3261536180349864,-0.5826310861834898,-1.259232402718825
-2.8,-1.3733333333333333,-2.0,0.5,-3.2050082728074614,-0.46601686356602556,-1.1363512791564072
-2.8,-1.2466666666666666,-2.0,0.5,-3.085563024315789,-0.35404070888189665,-1.0154013421374237
-2.8,-1.12,-2.0,0.5,-2.9685343378245577,-0.2484520958252503,-0.8969900369610716
-2.8,-0.9933333333333334,-2.0,0.5,-2.8549902897736885,-0.15150383850404125,-0.7819298169259951
-2.8,-0.8666666666666667,-2.0,0.5,-2.746457098108195,-0.06607825497540887,-0.6712840085258374
-2.8,-0.7400000000000001,-2.0,0.5,-2.64486900630466,0.004430111962186341,-0.5664065444177665
-2.8,-0.6133333333333335,-2.0,0.5,-2.5522431785209037,0.05661029894027797,-0.46896065206873344
-2.8,-0.4866666666666668,-2.0,0.5,-2.4702694993604766,0.08773162115482339,-0.38089360106413767
-2.8,-0.3600000000000001,-2.0,0.5,-2.4003273591974477,0.0960689803618067,-0.30435424843551234
-2.8,-0.2333333333333334,-2.0,0.5,-2.344104898170251,0.08036658670977202,-0.24159912516679552
-2.8,-0.10666666666666691,-2.0,0.5,-2.3043887570148485,0.03846849459640113,-0.1950273011537023
-2.8,0.019999999999999796,-2.0,0.5,-2.285597067279852,-0.0346539080642998,-0.16751770115366002
-2.8,0.1466666666666665,-2.0,0.5,-2.293875013716992,-0.14949009826499088,-0.16315770308096045
-2.8,0.273333333333333,-2.0,0.5,-2.336852580509671,-0.3255238833608943,-0.18830833421151097
-2.8,0.4,-2.0,0.5,-2.424089617304901,-0.5960916539335769,-0.25267061685676717
-2.5999999999999996,-1.5,-2.0,0.5,-3.3565135213873702,-0.4647446564576113,-1.292416861465518
-2.5999999999999996,-1.3733333333333333,-2.0,0.5,-3.235522866450424,-0.34818080999350093,-1.169806739407671
-2.5999999999999996,-1.2466666666666666,-2.0,0.5,-3.1163616332791406,-0.23657703444820305,-1.0493907404775886
-2.5999999999999996,-1.12,-2.0,0.5,-2.99985402530762,-0.13192792029717285,-0.9318294107292303
-2.5999999999999996,-0.9933333333333334,-2.0,0.5,-2.887182796227343,-0.036742041721517175,-0.817981330102647
-2.5999999999999996,-0.8666666666666667,-2.0,0.5,-2.7799388495568635,0.04589824662977545,-0.708944238343665
-2.5999999999999996,-0.7400000000000001,-2.0,0.5,-2.679990818121169,0.11253845813094182,-0.6060892693760818
-2.5999999999999996,-0.6133333333333335,-2.0,0.5,-2.589154791719885,0.15986941747594585,-0.511071559666551
-2.5999999999999996,-0.4866666666666668,-2.0,0.5,-2.5089477394935358,0.18527498499511094,-0.42579605809511073
-2.5999999999999996,-0.3600000000000001,-2.0,0.5,-2.4408152857660568,0.1868575736550256,-0.35234041144850525
-2.5999999999999996,-0.2333333333333334,-2.0,0.5,-2.3868023811793577,0.1626100220724496,-0.2929092168193123
-2.5999999999999996,-0.10666666666666691,-2.0,0.5,-2.3502662076065235,0.1088101561218621,-0.2499741292423554
-2.5999999999999996,0.019999999999999796,-2.0,0.5,-2.3363067792524035,0.017733864397072807,-0.22673643038561697
-2.5999999999999996,0.1466666666666665,-2.0,0.5,-2.3516728790008514,-0.12538509449674953,-0.2278894670946091
-2.5999999999999996,0.273333333333333,-2.0,0.5,-2.404128712226168,-0.345933684853172,-0.2603682693607461
-2.5999999999999996,0.4,-2.0,0.5,-2.5022210107901373,-0.682001460396137,-0.33328913853061565
-2.4,-1.5,-2.0,0.5,-3.3846920785628,-0.38407633956371257,-1.3235635559868586
-2.4,-1.3733333333333333,-2.0,0.5,-3.2638167836391716,-0.2678310592190058,-1.2011227286156718
-2.4,-1.2466666666666666,-2.0,0.5,-3.1449031147410835,-0.15680430672297518,-1.0811165191686025
-2.4,-1.12,-2.0,0.5,-3.028867781713089,-0.05319112781491953,-0.9642558560759668
-2.4,-0.9933333333333334,-2.0,0.5,-2.91697621550545,0.04030333092916294,-0.8514435755724767
-2.4,-0.8666666666666667,-2.0,0.5,-2.810840234246122,0.12047760932109237,-0.7438111333353105
-2.4,-0.7400000000000001,-2.0,0.5,-2.7122434024063153,0.18390706774684418,-0.6427461106584136
